Date,is_tdd,MCC,MNC,CID,PCI,earfcn,freq_band_ind,UL_bandwidth,DL_bandwidth,TAC,RSRP,RSRQ,RSSI,SINR,CQI,tx_power,srxlev,MCC_5g,MNC_5g,PCI_5g,RSRP_5g,SINR_5g,RSRQ_5g,ARFCN_5g,band_5g,mode1,earfcn1,PCI1,RSRQ1,RSRP1,mode2,earfcn2,PCI2,RSRQ2,RSRP2,mode3,earfcn3,PCI3,RSRQ3,RSRP3,mode4,earfcn4,PCI4,RSRQ4,RSRP4,mode5,earfcn5,PCI5,RSRQ5,RSRP5,mode6,earfcn6,PCI6,RSRQ6,RSRP6,mode7,earfcn7,PCI7,RSRQ7,RSRP7,mode8,earfcn8,PCI8,RSRQ8,RSRP8"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-80,-13,-48,11,0,-32768,47,466,97,-1,65535,-32768,-32768,-32768,0,LTE,275,239,-13,-80,LTE,275,53,-15,-84
2021/05/10-19:12:14,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-80,-14,-48,11,8,210,-,466,97,53,-102,9,-11,636000,77
2021/05/10-19:12:15,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-80,-14,-48,11,9,220,-,466,97,53,-102,9,-11,636000,77
2021/05/10-19:12:17,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-80,-14,-49,11,9,220,-,466,97,53,-102,11,-11,636000,77
2021/05/10-19:12:18,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-80,-14,-49,11,8,-10,-,466,97,53,-102,11,-11,636000,77
2021/05/10-19:12:20,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-81,-13,-48,11,9,230,-,466,97,53,-102,10,-11,636000,77
2021/05/10-19:12:21,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-81,-13,-48,11,8,220,-,466,97,53,-102,11,-11,636000,77
2021/05/10-19:12:23,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-81,-14,-49,11,8,220,-,466,97,53,-102,10,-11,636000,77
2021/05/10-19:12:24,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-81,-14,-49,11,8,220,-,466,97,53,-102,11,-11,636000,77
2021/05/10-19:12:26,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-81,-14,-47,11,8,210,-,466,97,53,-102,10,-11,636000,77
2021/05/10-19:12:27,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-81,-14,-47,11,8,220,-,466,97,53,-102,10,-11,636000,77
2021/05/10-19:12:29,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-82,-14,-49,10,9,210,-,466,97,53,-102,11,-11,636000,77
2021/05/10-19:12:30,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-82,-14,-49,10,9,210,-,466,97,53,-102,9,-11,636000,77
2021/05/10-19:12:32,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-81,-14,-49,11,9,220,-,466,97,53,-102,11,-11,636000,77
2021/05/10-19:12:33,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-81,-14,-49,11,9,210,-,466,97,53,-102,10,-11,636000,77
2021/05/10-19:12:35,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-83,-14,-51,11,9,210,-,466,97,53,-102,12,-11,636000,77
2021/05/10-19:12:36,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-83,-14,-51,11,10,220,-,466,97,53,-102,9,-11,636000,77
2021/05/10-19:12:38,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-83,-14,-51,11,10,220,-,466,97,53,-102,10,-11,636000,77
2021/05/10-19:12:39,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-83,-14,-51,11,9,220,-,466,97,53,-102,10,-11,636000,77
2021/05/10-19:12:41,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-82,-13,-51,11,9,220,-,466,97,53,-102,10,-11,636000,77
2021/05/10-19:12:42,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-82,-13,-51,11,9,210,-,466,97,53,-102,10,-11,636000,77
2021/05/10-19:12:44,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-81,-14,-50,11,9,230,-,466,97,53,-102,10,-11,636000,77
2021/05/10-19:12:45,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-81,-14,-50,11,9,230,-,466,97,53,-102,9,-11,636000,77
2021/05/10-19:12:47,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-82,-14,-50,11,9,230,-,466,97,53,-102,10,-11,636000,77
